Player,0,1,2,3,4,5,6,7,8,9
Practice 1,1,1,1,1,1,1,1,1,1,1
Practice 2,1,1,1,1,1,1,1,1,1,1
Practice 3,1,1,1,1,1,1,1,0,1,1
Practice 4,0,1,1,1,1,0,1,1,0,1
Practice 5,1,0,1,1,1,1,1,1,1,1
Practice 6,1,1,0,1,1,1,1,1,0,1
Practice 7,1,1,1,1,1,1,1,1,1,1
Practice 8,1,1,1,1,1,0,1,1,1,1
Practice 9,1,1,1,1,1,1,1,1,1,0
Practice 10,1,1,1,1,1,1,1,1,1,1
Test 1,1,1,1,0,0,1,1,1,1,1
Test 2,1,1,1,1,1,1,1,1,1,1
Test 3,1,1,1,1,0,1,1,1,1,1
Test 4,1,1,1,1,1,1,1,1,1,1
Test 5,1,1,0,1,1,0,1,1,1,1
Test 6,1,1,1,1,1,1,1,1,1,1
Test 7,0,0,1,1,1,1,0,1,0,0
Test 8,1,1,1,1,1,1,0,1,1,1
Test 9,1,1,1,1,1,0,1,0,1,1
Test 10,1,1,1,1,1,1,1,1,1,1
